0.	-152.1368407	-152.1368407	76.06842034999998	76.06842034999998	76.06842035	76.06842035	0.	-1.7499172242370054	-1.7483487361511847	-1.7474999999999998	-1.7459163309467884	-1.7443487400996833	-1.6061055085508238	1.1536142383487578	1.1542667472144865	1.1643487400996808	1.1649081855464156	2.8988029858882483	2.9061956428878943
0.5	-152.37256132431472	-151.90494778532064	75.3679283578	75.83684079312067	76.30382761651471	76.7689123422	0.5	-3.1378158592564165	-2.637763812069454	-2.1089981169471335	-1.5419250070517192	-0.9441093910254084	-0.33228356449104074	0.21190287871954833	0.6041639370484949	1.3993045272524165	2.2597360975195344	2.4421506431409754	3.8856376671602035
1.	-152.61208604970818	-151.67690599621193	74.6674363656	75.60911236181194	76.54303898410821	77.4694043344	1.	-4.538666417791054	-3.7000936487271483	-2.736431838517144	-1.5634251454254025	-0.5933804088715438	-0.27778549330656843	-0.20134356351167845	1.0683045214672275	1.6166529067484774	2.4741905341804213	3.460945846671562	5.091032707082844
1.5	-152.8553910848241	-151.45273854609337	73.9669443734	75.38525826949336	76.78603066142409	78.1698963266	1.5	-5.939893541188642	-4.8791216080633095	-3.6083659646900976	-1.734695103286704	-1.2824685734577974	-0.9710467831842151	0.3215538420027674	1.9001600064739073	2.4694517220065038	2.7145192484909817	4.729961744802253	6.379945010094355
2.	-153.10245246524823	-151.23246843590934	73.2664523812	75.16530151710937	77.03277868404824	78.8703883188	2.	-7.341222211671899	-6.1344672989118	-4.681597411032102	-2.006752946083866	-1.894947359976472	-1.6266591098382357	0.8794259221728897	2.2449385832129125	3.041685493469047	3.8710617914614764	6.040564041757613	7.707970505440429
2.5	-153.3532460631639	-151.01611844411227	72.565960389	74.94926488311225	77.28325892416389	79.570880311	2.5	-8.742592896408413	-7.436696954555394	-5.883503948322398	-2.463126675590689	-2.339412782902202	-2.197957400906249	1.4114928624815095	2.6305938554481942	3.4141545786971252	5.272373591873904	7.377056551202017	9.0576192189826
3.	-153.60774759691392	-150.80371111659593	71.8654683968	74.73717091339596	77.53744710011392	80.2713723032	3.	-10.143985026310938	-8.767908843261132	-7.158472428281306	-3.0001051855763174	-2.7330169359111447	-2.70282889271477	1.926880975306222	3.041929310988196	3.81292955972999	6.673746906633428	8.730269862669314	10.420560696728463
3.5	-153.86593264046343	-150.59526875658833	71.1649764046	74.52904191118832	77.79531878586343	80.9718642954	3.5	-11.54538958847036	-10.117655798876292	-8.474988681382518	-3.5189261916477372	-3.226927179699429	-3.1072978031522993	2.431051536826146	3.4694851384172254	4.228495809294466	8.075142249128055	10.094724812019955	11.792285697542809
4.	-154.12777663275705	-150.390813414511	70.4644844124	74.32489992691103	78.05684942035704	81.6723562876	4.	-12.946802005400572	-11.479743428755263	-9.816312796198671	-4.025466674762272	-3.71362557488016	-3.5221499393958284	2.9273912672061773	3.9075837132090507	4.655423032138247	9.476549298570145	11.467025743348607	13.170127364920527
4.5	-154.39325488696517	-150.19036687781545	69.7639924202	74.12476674801549	78.32201431676519	82.3728482798	4.5	-14.348219703681146	-12.850368907591609	-11.173308134080466	-4.523489915531383	-4.1930814639626774	-3.948121684751262	3.418081602556154	4.35277030555894	5.090385259873284	10.877963550097082	12.844986230236193	14.552402861276896
5.	-154.66234259961394	-149.993950660804	69.063500428	73.92866388880401	78.59078867161391	83.073340272	5.	-15.749641124617318	-14.2271061670777	-12.540722639025958	-5.015411330888552	-4.668118074920002	-4.38221899019422	3.904578571276897	4.8028809471340095	5.531232801164909	12.27938260915544	14.227147231132319	15.937996166860161
5.5	-154.93501485959334	-149.8015859944454	68.3630084358	73.73661258024542	78.86314757379334	83.7738322642	5.5	-17.15106526860103	-15.608349837563097	-13.91537238166651	-5.5028322447159566	-5.140405550827884	-4.822337650386619	4.387885601506857	5.256515694202594	5.976515861836761	13.680805056968213	15.612503388975128	17.326137330271553
6.	-155.21124665703982	-149.61329381619475	67.6625164436	73.54863375979474	79.1390660134398	84.4743242564	6.	-18.55249146487952	-16.993001982307543	-15.295232527847567	-5.986848661411049	-5.6109331875973085	-5.267018244487839	4.868714031434476	5.712740121950553	6.425222126043998	15.082229990784073	17.000342072920382	18.716277725397358
6.5	-155.49101289208744	-149.42909475982657	66.9620244514	73.36474806122655	79.41851889068747	85.1748162486	6.5	-19.953919246497943	-18.38028945437308	-16.678960894149235	-6.46823264168223	-6.080304856581276	-5.7152279827493135	5.3475808259747595	6.170912326469516	6.876623944381819	16.483656805719104	18.39014541920439	20.108015754283475
7.	-155.77428838348493	-149.249009145292	66.2615324592	73.184975804492	79.70148102428492	85.8753082408	7.	-21.355348278307254	-19.76965365378681	-18.06563565499608	-6.947542101431845	-6.548900641717881	-6.166219159796531	5.824869998765017	6.6305797646486315	7.330185232578765	17.885085080008093	19.781528769818884	21.501050644217038
7.5	-156.06104787707338	-149.07305696860962	65.561040467	73.00933698560962	79.98792716007335	86.575800233	7.5	-22.75677831349205	-21.160681772049646	-19.454604137146763	-7.425189383442249	-7.016966478751847	-6.619438749453407	6.300872366642811	7.091415901646701	7.785502564220079	19.286514510025274	21.174200833978585	22.895152657822482
8.	-156.35126605412228	-148.9012578918002	64.8605484748	72.8378512666002	80.2778319793223	87.2762922252	8.	-24.158209166248277	-22.553062604504476	-20.845391967581527	-7.901485357772078	-7.484665399148992	-7.074469713073785	6.775811971019727	7.553180188811965	8.24226667839907	20.68794487135788	22.5679372139481	24.29014328479237
